CODE,corn,wheat,oat,barley,hay,soybean,horse,cattle,swine,sheep
830,0.001351165,0.004237405,0.012932404,0.000281493,0.01976706,0,0.003206517,0.012249316,0.004943013,0.002646032
1270,0.108003878,0.036049199,0.077594462,0.070369302,0.162698463,0,0.037306673,0.113930842,0.152001625,0.166617006
370,3.13986E-06,9.41958E-06,0.000653091,3.13986E-06,0.003237195,0,0.000310846,0.000656231,8.79161E-05,3.45385E-05
690,1.37817E-05,0.000606395,0.002938947,2.23953E-05,0.00797099,0,0.001068082,0.003895052,0.001178335,0.001166276
670,0.000132028,7.58222E-05,0.004126965,0.000133755,0.015222727,0,0.001465983,0.007497075,0.002148869,0.000482312
780,0.001170033,0.004209117,0.005816902,0.000249434,0.008239823,0,0.00157791,0.006884794,0.003620509,0.003305314
430,0.114804071,0.015184424,0.116104044,0.002063914,0.099288067,0,0.026182704,0.102256672,0.131344141,0.017087447
350,0.038500425,0.018839781,0.065437862,0.002804173,0.083500351,0,0.014013588,0.039236634,0.027533188,0.014248507
1010,0.069990547,0.031996255,0.104244569,0.026347075,0.201724601,0,0.038916773,0.103065186,0.09150035,0.108898344
190,0.003370494,0.003412765,0.013935558,0.000297428,0.036601245,0,0.005174181,0.023592753,0.00799719,0.008985555
570,0.021707104,0.010497921,0.040903414,0.000781223,0.049498805,0,0.010474601,0.033479856,0.028180368,0.015284366
870,0.028868402,0.053358638,0.076315648,0.009593246,0.090674002,0,0.020321476,0.07917807,0.048321863,0.033470668
310,3.5131E-06,3.53E-13,6.79199E-05,1.17103E-06,0.001057443,0,7.37751E-05,0.000275193,2.10786E-05,0.001195625
550,0.081808507,0.044884606,0.0687185,0.057548294,0.160461135,0,0.03155061,0.124411336,0.102121883,0.058186466
330,0.043400107,0.016189853,0.061177885,0.000850113,0.07860848,0,0.012740582,0.045802044,0.034358331,0.028425733
90,0.00656615,0.055738048,0.083019181,0.007424134,0.10275012,0,0.022090137,0.073915828,0.029337317,0.018758668
730,0.000702878,0.006791039,0.01839077,0.000904016,0.03431671,0,0.004486467,0.021276518,0.009949254,0.008589265
650,0.147814436,0.007411529,0.152431255,0.005771635,0.124129559,0,0.032879116,0.138639904,0.175655684,0.030635959
30,4.6E-14,8E-15,0.000134114,8.34733E-06,0.001254326,0,7.56825E-05,0.000473572,0.000131888,4.61886E-05
890,0.021417623,0.079582283,0.095496209,0.122258151,0.162949094,0,0.03553226,0.127682327,0.049660187,0.013258192
230,0.047332589,0.033395084,0.068049686,0.002354632,0.065449932,0,0.018195602,0.060039239,0.052002748,0.029126504
170,0.004354346,0.001876194,0.014600229,0.000266056,0.017326021,0,0.002405352,0.007625162,0.004245557,0.00254005
590,0.080133096,0.019201436,0.097443564,0.020828672,0.215137806,0,0.036775604,0.11116847,0.065078378,0.269863369
290,0.001146815,0.039465807,0.034609461,0.003924157,0.082061323,0,0.011253521,0.047471085,0.019659224,0.018473969
1190,2.0629E-05,2.22148E-05,0.001329646,1.42803E-05,0.010621251,0,0.000788582,0.005992898,0.001464509,0.000626741
770,0.053149997,0.017714344,0.034475323,0.0004761,0.087738326,0,0.014290208,0.046740861,0.034393092,0.050012476
1230,0.054949014,0.043706963,0.089854105,0.00854924,0.081944097,0,0.02321137,0.073760405,0.087762249,0.071348934
810,0.027483083,0.035517368,0.05425061,0.003990212,0.06432653,0,0.014674948,0.04913031,0.041249462,0.035010697
510,2.24099E-10,3.735E-11,8.76805E-05,5.27442E-06,0.00079555,0,4.87375E-05,0.000301661,8.36429E-05,2.91862E-05
630,0.063667206,0.036439924,0.07825765,0.007858302,0.094078317,0,0.020248013,0.074351197,0.056203006,0.023903955
1250,3.8E-14,6E-15,2.40555E-05,2.6E-14,4.86413E-05,0,1.25634E-05,2.903E-05,2.79037E-06,3.32E-13
990,7.33732E-06,1.22611E-06,0.000330248,4.89164E-06,0.004030515,0,0.000261707,0.001950593,0.00020682,6.3667E-05
450,0.140083421,0.007643339,0.119853726,0.003154984,0.151089682,0,0.032842722,0.152431498,0.125911849,0.048425947
1130,1.55741E-10,4.91E-13,0.000150434,2.2E-13,0.000477918,0,6.36453E-05,0.000172421,7.40598E-05,3.716E-12
130,0.001665036,0.00155143,0.003539542,3.90521E-05,0.016274045,0,0.001088132,0.009090241,0.001065058,0.003605213
1050,0.156425752,0.022375122,0.11554887,0.067405101,0.145496424,0,0.039435136,0.108462782,0.159162925,0.05362241
470,0.075482222,0.066480587,0.079432628,0.032790598,0.129963609,0,0.025969713,0.071314076,0.083592537,0.168059692
710,0.002437523,0.101474305,0.083816605,0.025922804,0.123251856,0,0.029454486,0.113396808,0.040959726,0.027048474
530,0.020653677,0.015714564,0.044851606,0.000771697,0.047404144,0,0.008124367,0.033873506,0.017357919,0.009077446
250,0.11556301,0.031534026,0.120952422,0.037873635,0.133274564,0,0.032339114,0.105866845,0.122691277,0.046754679
150,0.02013546,0.08017191,0.061307483,0.067721542,0.083949551,0,0.02409014,0.090603636,0.039082541,0.022622416
1290,8.05869E-05,1.41012E-08,0.000196001,5.85573E-10,0.000844329,0,0.000113544,0.000514621,7.32671E-05,4.62636E-08
950,0.008598251,0.012612289,0.025169043,0.001254694,0.044979485,0,0.005387997,0.028086853,0.007959468,0.012811605
490,0.086246799,0.011442013,0.124824869,0.00133483,0.103712992,0,0.023849305,0.116938286,0.127065311,0.02204706
930,0.043324219,0.043075811,0.070571401,0.0234425,0.091080817,0,0.020148017,0.063131499,0.044253367,0.054319217
610,0.000763109,0.104173404,0.069093122,0.011950825,0.124740998,0,0.023124915,0.095538468,0.035648072,0.030424412
1310,0.040826495,0.096441609,0.07116397,0.11380856,0.112087288,0,0.03535786,0.107766168,0.082538728,0.054829787
110,0.040060366,0.068864246,0.065290462,0.005482895,0.073217548,0,0.016316562,0.059175607,0.05461974,0.023794438
790,0.035307825,0.02006567,0.097763494,0.066126985,0.200504517,0,0.049441916,0.110378321,0.070686021,0.009545019
10,0.030539624,0.006633031,0.020827219,0.000238272,0.038999418,0,0.007586118,0.024943649,0.01418738,0.01275548
1030,0.065777674,0.043229733,0.057641861,0.000633615,0.092854555,0,0.022981699,0.083106938,0.068545547,0.096495826
1090,0.037271804,0.011861967,0.145828676,0.001994422,0.112896249,0,0.016009743,0.053137121,0.038518511,0.031053203
1410,0.003553544,0.001739159,0.012054119,0.000279878,0.046019268,0,0.004414333,0.021971255,0.007564413,0.005244311
390,0.049875165,0.069086103,0.092928736,0.089263774,0.15596525,0,0.031589676,0.114467621,0.075982416,0.13421052
970,0.027520014,0.008247123,0.046445728,0.000894615,0.055821158,0,0.010667065,0.03036449,0.024274257,0.012824793
1150,0.003650254,0.013370889,0.015755956,0.000780682,0.021761845,0,0.004390043,0.019824655,0.011001735,0.010762062
210,0.087977449,0.04209952,0.092068249,0.045440418,0.115313626,0,0.027520585,0.08158424,0.076796584,0.1030705
1210,0.050945978,0.031039712,0.096290492,0.002830215,0.110734274,0,0.01714344,0.07954294,0.05272749,0.027796752
270,0.056057613,0.093739442,0.072138081,0.137366291,0.139694163,0,0.033275814,0.108463059,0.074077942,0.081407369
50,0.005252458,0.003817711,0.021013125,0.000163316,0.054599562,0,0.004521878,0.0230677,0.006667821,0.012798217
70,7.91E-13,0,3.10196E-06,1.2475E-11,0.00036186,0,5.16941E-05,0.000137507,8.27128E-06,2.06809E-06
850,2.63E-13,5.667E-12,2.92465E-05,2.98E-13,5.95057E-05,0,1.53495E-05,3.54349E-05,3.39697E-06,1.2025E-11
910,0.06159021,0.04650517,0.045079185,0.00960638,0.071473191,0,0.01583265,0.044369164,0.042170132,0.026130204
1370,0.051716261,0.016964372,0.048139223,0.000527177,0.070193706,0,0.015277567,0.045519039,0.035105169,0.032828526
1350,0.025951071,0.025655106,0.046889274,0.0021563,0.077322415,0,0.015931272,0.053399025,0.032501702,0.029473498
1110,0.070085391,0.042502955,0.081379582,0.002641192,0.084804529,0,0.022581064,0.07180329,0.091608941,0.044560863
750,0.000373809,0.000929058,0.004128295,0.00016723,0.009931079,0,0.001354238,0.004323943,0.001537864,0.000813199
1170,0.029094116,0.050935886,0.084033601,0.073405586,0.12561562,0,0.031098953,0.138363158,0.055048162,0.025063349
1070,0.003892619,0.001677251,0.013052207,0.000237842,0.015489184,0,0.00215032,0.006816761,0.003795399,0.002270792
410,1.44087E-10,2.18283E-10,3.76128E-05,1.03615E-10,0.000210283,0,4.7013E-05,9.65937E-05,5.98499E-06,4.35295E-10
1390,0.047353997,0.048493616,0.07818067,0.015536213,0.145634783,0,0.024464203,0.083065947,0.056789682,0.070335594
1330,0.062332785,0.047615477,0.078898585,0.088494847,0.149651345,0,0.03509628,0.086666863,0.086412346,0.155147996
