CODE,corn,wheat,oat,barley,hay,soybean,horse,cattle,swine,sheep,population
830,0.025076789,0.001267985,0.031538133,0.009029849,0.068473665,0.000113906,0.009102451,0.05597405,0.010600743,0.005198363,0.036608396
1270,0.15764407,0.004655887,0.091274793,0.060713367,0.131107298,0.002265605,0.024694057,0.163966628,0.038612874,0.053583199,0.097201568
370,0.001463174,0.000150713,0.004508838,0.002125685,0.020186156,0,0.002044048,0.011595501,0.00065937,0.002750517,0.012979292
690,0.004828762,0.000127481,0.018004066,0.003750345,0.054468716,7.75221e-05,0.005669446,0.045743178,0.003169791,0.00478914,0.036304104
670,0.004626955,0.000191844,0.018885148,0.00651498,0.049978033,1.93612e-05,0.006541385,0.044946759,0.00446128,0.006844041,0.038343041
780,0.012115953,0.000718892,0.015061258,0.003683773,0.026381765,9.0486e-05,0.003854457,0.026810555,0.004237537,0.002612906,0.04230722
430,0.125360946,0.001282339,0.079581452,0.020963494,0.138074988,0.002726815,0.024253414,0.142048849,0.077328071,0.037929666,0.050773849
350,0.05284347,0.004092443,0.100884812,0.020292737,0.113334306,0.000983156,0.019345911,0.093266901,0.023089639,0.019980361,0.099093326
1010,0.14023802,0.007053659,0.092597207,0.030798387,0.158856636,0.00032584,0.025488643,0.134079439,0.022670832,0.020325768,0.411483977
190,0.037713963,0.000253856,0.049976273,0.014026346,0.123935995,0.00089099,0.017519813,0.136285405,0.011744459,0.011050888,0.044126498
570,0.041655487,0.00083175,0.049312244,0.01034634,0.08775539,0.000452798,0.012965962,0.066413635,0.013094223,0.01324386,0.034671585
870,0.097889195,0.002599128,0.110962619,0.030740146,0.162660576,0.00036849,0.024442751,0.175972814,0.032214864,0.013690161,0.155694755
310,0.001605488,0.000642898,0.005761489,0.001955628,0.038785821,2.22497e-05,0.003052887,0.020015319,0.000994209,0.006934862,0.053586981
550,0.131111863,0.007209958,0.116978828,0.020337512,0.180329396,0.000311029,0.02683692,0.176578298,0.028030093,0.011550962,0.097326448
330,0.085955463,0.004870868,0.113912737,0.027975385,0.129342869,0.002056503,0.022333992,0.130854951,0.033204363,0.02398538,0.048294067
90,0.055789706,0.004594866,0.12012944,0.049237737,0.204531132,7.0106e-05,0.024677289,0.187337644,0.02556238,0.006540301,0.20144403
730,0.024599523,0.001758463,0.063527639,0.016003825,0.135553868,0.000203219,0.014946297,0.119826964,0.012858598,0.014949097,0.069805432
650,0.145524496,0.000879042,0.099627192,0.029522999,0.163051165,0.001529089,0.024593471,0.183623697,0.081413545,0.041457776,0.046263302
30,0.000964711,0.000333425,0.007190131,0.003006755,0.034873321,4.44568e-06,0.002848193,0.020758318,0.002178378,0.002557743,0.032104317
890,0.086367442,0.008590933,0.143974466,0.02617778,0.198560821,0.000146059,0.029145448,0.18156477,0.029623451,0.003000851,0.117152168
230,0.069595979,0.003032598,0.050164377,0.013864434,0.138427857,0.0005163,0.018936148,0.117476083,0.03164024,0.021723645,0.043504237
170,0.048448521,0.000655752,0.074480251,0.013089383,0.122751609,0.000448668,0.016947306,0.114435488,0.010052269,0.012958834,0.054654249
