CODE,STCTY,NAME,AREA_A,LON,LAT
10,25_10,Adams,440673,-89.7705002,43.9692001
1010,25_1010,Racine,217901,-88.061203,42.7475014
1030,25_1030,Richland,377180,-90.4294968,43.3754997
1050,25_1050,Rock,464710,-89.0716019,42.6711998
1070,25_1070,Rusk,595761,-91.1332016,45.4752007
1090,25_1090,St. Croix,470838,-92.4527969,45.0340004
110,25_110,Buffalo,454140,-91.754303,44.3796005
1110,25_1110,Sauk,543114,-89.9484024,43.4266014
1130,25_1130,Sawyer,864167,-91.1445007,45.8797989
1150,25_1150,Shawano,582068,-88.7649002,44.789299
1170,25_1170,Sheboygan,331201,-87.9453964,43.7210999
1190,25_1190,Taylor,630138,-90.501297,45.2116013
1210,25_1210,Trempealeau,474874,-91.3584976,44.3035011
1230,25_1230,Vernon,522500,-90.8345032,43.5940018
1250,25_1250,Vilas,651418,-89.5146027,46.0530014
1270,25_1270,Walworth,368996,-88.5419006,42.6683998
1290,25_1290,Washburn,546122,-91.7911987,45.8987999
130,25_130,Burnett,563350,-92.3679962,45.8625984
1310,25_1310,Washington,278863,-88.2307968,43.3683014
1330,25_1330,Waukesha,371571,-88.3044968,43.0181007
1350,25_1350,Waupaca,489726,-88.9648972,44.4701996
1370,25_1370,Waushara,407932,-89.242897,44.1132011
1390,25_1390,Winnebago,370291,-88.6446991,44.0688019
1410,25_1410,Wood,518052,-90.0414963,44.455101
150,25_150,Calumet,254129,-88.2180023,44.081501
170,25_170,Chippewa,666420,-91.2798996,45.0693016
190,25_190,Clark,780020,-90.6119995,44.7342987
210,25_210,Columbia,509429,-89.3337021,43.4664993
230,25_230,Crawford,383497,-90.9311981,43.2392998
250,25_250,Dane,792477,-89.4182968,43.0672989
270,25_270,Dodge,580514,-88.7074966,43.4160995
290,25_290,Door,312169,-87.3181992,44.9431992
30,25_30,Ashland,674813,-90.677803,46.3135986
310,25_310,Douglas,853384,-91.9147034,46.4305992
330,25_330,Dunn,552877,-91.8964005,44.9462013
350,25_350,Eau Claire,412956,-91.2860031,44.726799
370,25_370,Florence,318443,-88.3981018,45.8484001
390,25_390,Fond du Lac,490134,-88.4881973,43.7536011
410,25_410,Forest,669653,-88.7699966,45.6668015
430,25_430,Grant,757313,-90.7061996,42.8671989
450,25_450,Green,374056,-89.6022034,42.6799011
470,25_470,Green Lake,243399,-89.044899,43.8002014
490,25_490,Iowa,491469,-90.1353989,43.0004005
50,25_50,Barron,569451,-91.8482971,45.4235001
510,25_510,Iron,513656,-90.2415009,46.2619019
530,25_530,Jackson,640178,-90.8050003,44.3190994
550,25_550,Jefferson,372954,-88.7759018,43.0206985
570,25_570,Juneau,514578,-90.1138992,43.9239006
590,25_590,Kenosha,178198,-88.0427017,42.5768013
610,25_610,Kewaunee,220152,-87.6154022,44.5159988
630,25_630,La Crosse,307172,-91.1151962,43.9063988
650,25_650,Lafayette,406124,-90.1316986,42.6604996
670,25_670,Langlade,568238,-89.0718002,45.2622986
690,25_690,Lincoln,580480,-89.7345963,45.3372993
70,25_70,Bayfield,967222,-91.2013016,46.5228996
710,25_710,Manitowoc,381132,-87.8098984,44.1198006
730,25_730,Marathon,1008840,-89.7591019,44.8983994
750,25_750,Marinette,914875,-88.0329971,45.3824997
770,25_770,Marquette,297155,-89.3988037,43.8195
780,25_780,Menominee,233577,-88.7098999,45.0043983
790,25_790,Milwaukee,155262,-87.9666977,43.007
810,25_810,Monroe,581243,-90.6177979,43.9455986
830,25_830,Oconto,650814,-88.2684021,45.0256004
850,25_850,Oneida,791032,-89.5214996,45.7056999
870,25_870,Outagamie,412508,-88.4648972,44.4160004
890,25_890,Ozaukee,150624,-87.9508972,43.3838997
90,25_90,Brown,342313,-88.0037003,44.452301
910,25_910,Pepin,159164,-92.0018005,44.582901
930,25_930,Pierce,378798,-92.4224014,44.7196007
950,25_950,Polk,612101,-92.4413986,45.4611015
970,25_970,Portage,526494,-89.501297,44.4757996
990,25_990,Price,818106,-90.3613968,45.6799011
