"DNR_CNTY_C","COUNTY_NAM"
30,"Kenosha"
33,"Lafayette"
54,"Rock"
65,"Walworth"
23,"Green"
52,"Racine"
28,"Jefferson"
68,"Waukesha"
25,"Iowa"
41,"Milwaukee"
22,"Grant"
13,"Dane"
12,"Crawford"
53,"Richland"
67,"Washington"
46,"Ozaukee"
14,"Dodge"
57,"Sauk"
11,"Columbia"
63,"Vernon"
60,"Sheboygan"
20,"Fond du Lac"
39,"Marquette"
24,"Green Lake"
32,"La Crosse"
42,"Monroe"
70,"Waushara"
29,"Juneau"
1,"Adams"
71,"Winnebago"
8,"Calumet"
36,"Manitowoc"
45,"Outagamie"
27,"Jackson"
62,"Trempealeau"
6,"Buffalo"
72,"Wood"
69,"Waupaca"
50,"Portage"
5,"Brown"
47,"Pepin"
31,"Kewaunee"
18,"Eau Claire"
48,"Pierce"
59,"Shawano"
10,"Clark"
37,"Marathon"
40,"Menominee"
17,"Dunn"
56,"Saint Croix"
9,"Chippewa"
15,"Door"
61,"Taylor"
43,"Oconto"
34,"Langlade"
35,"Lincoln"
55,"Rusk"
3,"Barron"
49,"Polk"
38,"Marinette"
44,"Oneida"
51,"Price"
19,"Florence"
21,"Forest"
58,"Sawyer"
66,"Washburn"
7,"Burnett"
64,"Vilas"
26,"Iron"
2,"Ashland"
16,"Douglas"
4,"Bayfield"
